,mad_name,control_system_name,beampath,image,columns,rows,bit_depth,calibration,ROI_start_X,ROI_X,ROI_Y,orient_X,orient_Y,center_pix_X,center_pix_Y,filt_1_out,filt_1_in,filt_2_out,filt_2_in,cam_rotation,calibration_Y,bin_X,bin_Y,ROI_start_X_Set,ROI_start_Y_SET,ROI_X_set,ROI_Y_set,SCLinac,Laser,Popin,Cascade,Color,NLCTA,FACET,SPEAR,XTA,AreaDet,Bufd,Filt,Proj,XRS,PCDS,ASTA,LCLS,SAS,HXS,ROI,FrameGrab,AreaDet2,SWROI,Gain,XTES,OneFilt,FiltFlip_1,FiltFlip_2
10,CAM2290,13PS6:cam1,NLCTA,13PS6:cam1,13PS6:cam1:MaxSizeX_RBV,13PS6:cam1:MaxSizeY_RBV,13PS6:cam1:DataType_RBV,13PS6:cam1:RESOLUTION,13PS6:cam1:MinY_RBV,13PS6:cam1:SizeX_RBV,13PS6:cam1:SizeY_RBV,,,,,,,,,,,13PS6:cam1:BinX,13PS6:cam1:BinY,13PS6:cam1:MinX,13PS6:cam1:MinY,13PS6:cam1:SizeX,13PS6:cam1:SizeY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,YAG150X,YAGS:XT01:150,XTA,YAGS:XT01:150,YAGS:XT01:150:MaxSizeX_RBV,YAGS:XT01:150:MaxSizeY_RBV,YAGS:XT01:150:DataType_RBV,YAGS:XT01:150:RESOLUTION,YAGS:XT01:150:MinY_RBV,YAGS:XT01:150:Image:ArraySize0_RBV,YAGS:XT01:150:Image:ArraySize1_RBV,,,,,,,,,,,YAGS:XT01:150:BinX_RBV,YAGS:XT01:150:BinY_RBV,YAGS:XT01:150:MinX,YAGS:XT01:150:MinY,YAGS:XT01:150:SizeX,YAGS:XT01:150:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,OTR250X,OTR:XT01:250,XTA,OTR:XT01:250,OTR:XT01:250:MaxSizeX_RBV,OTR:XT01:250:MaxSizeY_RBV,OTR:XT01:250:DataType_RBV,OTR:XT01:250:RESOLUTION,OTR:XT01:250:MinY_RBV,OTR:XT01:250:Image:ArraySize0_RBV,OTR:XT01:250:Image:ArraySize1_RBV,,,,,,,,,,,OTR:XT01:250:BinX_RBV,OTR:XT01:250:BinY_RBV,OTR:XT01:250:MinX,OTR:XT01:250:MinY,OTR:XT01:250:SizeX,OTR:XT01:250:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,OTR350X,OTR:XT01:350,XTA,OTR:XT01:350,OTR:XT01:350:MaxSizeX_RBV,OTR:XT01:350:MaxSizeY_RBV,OTR:XT01:350:DataType_RBV,OTR:XT01:350:RESOLUTION,OTR:XT01:350:MinY_RBV,OTR:XT01:350:Image:ArraySize0_RBV,OTR:XT01:350:Image:ArraySize1_RBV,,,,,,,,,,,OTR:XT01:350:BinX_RBV,OTR:XT01:350:BinY_RBV,OTR:XT01:350:MinX,OTR:XT01:350:MinY,OTR:XT01:350:SizeX,OTR:XT01:350:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,YAG550X,YAGS:XT01:550,XTA,YAGS:XT01:550,YAGS:XT01:550:MaxSizeX_RBV,YAGS:XT01:550:MaxSizeY_RBV,YAGS:XT01:550:DataType_RBV,YAGS:XT01:550:RESOLUTION,YAGS:XT01:550:MinY_RBV,YAGS:XT01:550:Image:ArraySize0_RBV,YAGS:XT01:550:Image:ArraySize1_RBV,,,,,,,,,,,YAGS:XT01:550:BinX_RBV,YAGS:XT01:550:BinY_RBV,YAGS:XT01:550:MinX,YAGS:XT01:550:MinY,YAGS:XT01:550:SizeX,YAGS:XT01:550:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,YAG950X,YAGS:XT01:950,XTA,YAGS:XT01:950,YAGS:XT01:950:MaxSizeX_RBV,YAGS:XT01:950:MaxSizeY_RBV,YAGS:XT01:950:DataType_RBV,YAGS:XT01:950:RESOLUTION,YAGS:XT01:950:MinY_RBV,YAGS:XT01:950:Image:ArraySize0_RBV,YAGS:XT01:950:Image:ArraySize1_RBV,,,,,,,,,,,YAGS:XT01:950:BinX_RBV,YAGS:XT01:950:BinY_RBV,YAGS:XT01:950:MinX,YAGS:XT01:950:MinY,YAGS:XT01:950:SizeX,YAGS:XT01:950:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,ILL1X,ILL:XT01:1,XTA,ILL:XT01:1,ILL:XT01:1:MaxSizeX_RBV,ILL:XT01:1:MaxSizeY_RBV,ILL:XT01:1:DataType_RBV,ILL:XT01:1:RESOLUTION,ILL:XT01:1:MinY_RBV,ILL:XT01:1:Image:ArraySize0_RBV,ILL:XT01:1:Image:ArraySize1_RBV,,,,,,,,,,,ILL:XT01:1:BinX_RBV,ILL:XT01:1:BinY_RBV,ILL:XT01:1:MinX,ILL:XT01:1:MinY,ILL:XT01:1:SizeX,ILL:XT01:1:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,VIS10X,VIS:XT01:10,XTA,VIS:XT01:10,VIS:XT01:10:MaxSizeX_RBV,VIS:XT01:10:MaxSizeY_RBV,VIS:XT01:10:DataType_RBV,VIS:XT01:10:RESOLUTION,VIS:XT01:10:MinY_RBV,VIS:XT01:10:Image:ArraySize0_RBV,VIS:XT01:10:Image:ArraySize1_RBV,,,,,,,,,,,VIS:XT01:10:BinX_RBV,VIS:XT01:10:BinY_RBV,VIS:XT01:10:MinX,VIS:XT01:10:MinY,VIS:XT01:10:SizeX,VIS:XT01:10:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,VIS26X,VIS:XT01:26,XTA,VIS:XT01:26,VIS:XT01:26:MaxSizeX_RBV,VIS:XT01:26:MaxSizeY_RBV,VIS:XT01:26:DataType_RBV,VIS:XT01:26:RESOLUTION,VIS:XT01:26:MinY_RBV,VIS:XT01:26:Image:ArraySize0_RBV,VIS:XT01:26:Image:ArraySize1_RBV,,,,,,,,,,,VIS:XT01:26:BinX_RBV,VIS:XT01:26:BinY_RBV,VIS:XT01:26:MinX,VIS:XT01:26:MinY,VIS:XT01:26:SizeX,VIS:XT01:26:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,VCC49X,VCC:XT01:49,XTA,VCC:XT01:49,VCC:XT01:49:MaxSizeX_RBV,VCC:XT01:49:MaxSizeY_RBV,VCC:XT01:49:DataType_RBV,VCC:XT01:49:RESOLUTION,VCC:XT01:49:MinY_RBV,VCC:XT01:49:Image:ArraySize0_RBV,VCC:XT01:49:Image:ArraySize1_RBV,,,,,,,,,,,VCC:XT01:49:BinX_RBV,VCC:XT01:49:BinY_RBV,VCC:XT01:49:MinX,VCC:XT01:49:MinY,VCC:XT01:49:SizeX,VCC:XT01:49:SizeY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
